Model,SplittingMethod,Hashing,Canonical,Shrinkage,Ordering,recentHist,FK_calls,Successful_Hashtable_Fetch,Backtracking_Counts,Backtracking_Length,Seen_Nodes
BIOMD0000000048,mostFreq,1,1,0,1,0,2533,445,120,335,1630
BIOMD0000000048,mostFreq,1,1,0,0,0,2533,445,120,335,1630
BIOMD0000000048,mostFreq,1,0,1,1,1,2288,322,109,292,1436
BIOMD0000000048,mostFreq,1,0,1,1,0,2288,322,109,292,1436
BIOMD0000000048,mostFreq,1,0,1,0,0,2288,322,109,292,1436
BIOMD0000000048,mostFreq,1,0,0,1,1,2533,445,120,335,1630
BIOMD0000000048,mostFreq,1,0,0,1,0,2533,445,120,335,1630
BIOMD0000000048,mostFreq,1,0,0,0,0,2533,445,120,335,1630
BIOMD0000000048,mostFreq,0,0,1,1,1,19415,0,2417,7776,8920
BIOMD0000000048,mostFreq,0,0,1,1,0,19415,0,2417,7776,8920
BIOMD0000000048,mostFreq,0,0,1,0,0,19415,0,2417,7776,8920
BIOMD0000000048,mostFreq,0,0,0,1,1,26920,0,2717,8687,9921
BIOMD0000000048,mostFreq,0,0,0,1,0,26920,0,2717,8687,9921
BIOMD0000000048,mostFreq,0,0,0,0,0,26920,0,2717,8687,9921
BIOMD0000000048,weightedVars,1,1,1,1,1,2220,4,187,563,1169
BIOMD0000000048,weightedVars,1,1,1,1,0,2220,4,187,563,1169
BIOMD0000000048,weightedVars,1,1,1,0,0,2220,4,187,563,1169
BIOMD0000000048,weightedVars,1,1,0,1,1,2690,3,238,779,1452
BIOMD0000000048,weightedVars,1,1,0,1,0,2690,3,238,779,1452
BIOMD0000000048,weightedVars,1,1,0,0,0,2690,3,238,779,1452
BIOMD0000000048,weightedVars,1,0,1,1,1,2220,4,187,563,1169
BIOMD0000000048,weightedVars,1,0,1,1,0,2220,4,187,563,1169
BIOMD0000000048,weightedVars,1,0,1,0,0,2220,4,187,563,1169
BIOMD0000000048,weightedVars,1,0,0,1,1,2690,3,238,779,1452
BIOMD0000000048,weightedVars,1,0,0,1,0,2690,3,238,779,1452
BIOMD0000000048,weightedVars,1,0,0,0,0,2690,3,238,779,1452
BIOMD0000000048,weightedVars,0,0,1,1,1,2503,0,248,692,1290
BIOMD0000000048,weightedVars,0,0,1,1,0,2503,0,248,692,1290
BIOMD0000000048,weightedVars,0,0,1,0,0,2503,0,248,692,1290
BIOMD0000000048,weightedVars,0,0,0,1,1,2176,0,175,543,1207
BIOMD0000000048,weightedVars,0,0,0,1,0,2176,0,175,543,1207
BIOMD0000000048,weightedVars,0,0,0,0,0,2176,0,175,543,1207
BIOMD0000000089,mostFreq,1,1,1,1,1,6769,181,0,0,347
BIOMD0000000089,mostFreq,1,1,1,1,0,6769,181,0,0,347
BIOMD0000000089,mostFreq,1,1,1,0,0,6769,181,0,0,347
BIOMD0000000089,mostFreq,1,1,0,1,1,6849,181,0,0,388
BIOMD0000000089,mostFreq,1,1,0,1,0,6849,181,0,0,388
BIOMD0000000089,mostFreq,1,1,0,0,0,6849,181,0,0,388
BIOMD0000000089,mostFreq,1,0,1,1,1,6769,181,0,0,347
BIOMD0000000089,mostFreq,1,0,1,1,0,6769,181,0,0,347
BIOMD0000000089,mostFreq,1,0,1,0,0,6769,181,0,0,347
BIOMD0000000089,mostFreq,1,0,0,1,1,6849,181,0,0,388
BIOMD0000000089,mostFreq,1,0,0,1,0,6849,181,0,0,388
BIOMD0000000089,mostFreq,1,0,0,0,0,6849,181,0,0,388
BIOMD0000000089,mostFreq,0,0,1,1,1,19980,0,0,0,1287
BIOMD0000000089,mostFreq,0,0,1,1,0,19980,0,0,0,1287
BIOMD0000000089,mostFreq,0,0,1,0,0,19980,0,0,0,1287
BIOMD0000000089,mostFreq,0,0,0,1,1,25395,0,0,0,2350
BIOMD0000000089,mostFreq,0,0,0,1,0,25395,0,0,0,2350
BIOMD0000000089,mostFreq,0,0,0,0,0,25395,0,0,0,2350
BIOMD0000000089,weightedVars,1,1,1,1,1,1700,0,2,8,269
BIOMD0000000089,weightedVars,1,1,1,1,0,1700,0,2,8,269
BIOMD0000000089,weightedVars,1,1,1,0,0,1700,0,2,8,269
BIOMD0000000089,weightedVars,1,1,0,1,1,1880,0,2,10,423
BIOMD0000000089,weightedVars,1,1,0,1,0,1880,0,2,10,423
BIOMD0000000089,weightedVars,1,1,0,0,0,1880,0,2,10,423
BIOMD0000000089,weightedVars,1,0,1,1,1,1700,0,2,8,269
BIOMD0000000089,weightedVars,1,0,1,1,0,1700,0,2,8,269
BIOMD0000000089,weightedVars,1,0,1,0,0,1700,0,2,8,269
BIOMD0000000089,weightedVars,1,0,0,1,1,1880,0,2,10,423
BIOMD0000000089,weightedVars,1,0,0,1,0,1880,0,2,10,423
BIOMD0000000089,weightedVars,1,0,0,0,0,1880,0,2,10,423
BIOMD0000000089,weightedVars,0,0,1,1,1,1700,0,2,8,269
BIOMD0000000089,weightedVars,0,0,1,1,0,1700,0,2,8,269
BIOMD0000000089,weightedVars,0,0,1,0,0,1700,0,2,8,269
BIOMD0000000089,weightedVars,0,0,0,1,1,1880,0,2,10,423
BIOMD0000000089,weightedVars,0,0,0,1,0,1880,0,2,10,423
BIOMD0000000089,weightedVars,0,0,0,0,0,1880,0,2,10,423
BIOMD0000000093,mostFreq,1,1,1,1,1,5831,621,608,685,1484
BIOMD0000000093,mostFreq,1,1,1,1,0,5831,621,608,685,1484
BIOMD0000000093,mostFreq,1,1,1,0,0,5831,621,608,685,1484
BIOMD0000000093,mostFreq,1,1,0,1,1,7354,395,617,1172,2179
BIOMD0000000093,mostFreq,1,1,0,1,0,7354,395,617,1172,2179
BIOMD0000000093,mostFreq,1,1,0,0,0,7354,395,617,1172,2179
BIOMD0000000093,mostFreq,1,0,1,1,1,5831,621,608,685,1484
BIOMD0000000093,mostFreq,1,0,1,1,0,5831,621,608,685,1484
BIOMD0000000093,mostFreq,1,0,1,0,0,5831,621,608,685,1484
BIOMD0000000093,mostFreq,1,0,0,1,1,7354,395,617,1172,2179
BIOMD0000000093,mostFreq,1,0,0,1,0,7354,395,617,1172,2179
BIOMD0000000093,mostFreq,1,0,0,0,0,7354,395,617,1172,2179
BIOMD0000000093,mostFreq,0,0,1,1,1,28460,0,3123,5737,6600
BIOMD0000000093,mostFreq,0,0,1,1,0,28460,0,3123,5737,6600
BIOMD0000000093,mostFreq,0,0,1,0,0,28460,0,3123,5737,6600
BIOMD0000000093,mostFreq,0,0,0,1,1,47137,0,2887,8826,9921
BIOMD0000000093,mostFreq,0,0,0,1,0,47137,0,2887,8826,9921
BIOMD0000000093,mostFreq,0,0,0,0,0,47137,0,2887,8826,9921
BIOMD0000000093,weightedVars,1,1,1,1,1,3517,12,110,331,891
BIOMD0000000093,weightedVars,1,1,1,1,0,3517,12,110,331,891
BIOMD0000000093,weightedVars,1,1,1,0,0,3517,12,110,331,891
BIOMD0000000093,weightedVars,1,1,0,1,1,3169,31,129,342,768
BIOMD0000000093,weightedVars,1,1,0,1,0,3169,31,129,342,768
BIOMD0000000093,weightedVars,1,1,0,0,0,3169,31,129,342,768
BIOMD0000000093,weightedVars,1,0,1,1,1,3517,12,110,331,891
BIOMD0000000093,weightedVars,1,0,1,1,0,3517,12,110,331,891
BIOMD0000000093,weightedVars,1,0,1,0,0,3517,12,110,331,891
BIOMD0000000093,weightedVars,1,0,0,1,1,3169,31,129,342,768
BIOMD0000000093,weightedVars,1,0,0,1,0,3169,31,129,342,768
BIOMD0000000093,weightedVars,1,0,0,0,0,3169,31,129,342,768
BIOMD0000000093,weightedVars,0,0,1,1,1,2748,0,96,226,695
BIOMD0000000093,weightedVars,0,0,1,1,0,2748,0,96,226,695
BIOMD0000000093,weightedVars,0,0,1,0,0,2748,0,96,226,695
BIOMD0000000093,weightedVars,0,0,0,1,1,3370,0,168,404,843
BIOMD0000000093,weightedVars,0,0,0,1,0,3370,0,168,404,843
BIOMD0000000093,weightedVars,0,0,0,0,0,3370,0,168,404,843
BIOMD0000000094,mostFreq,1,1,1,1,1,5831,621,608,685,1484
BIOMD0000000094,mostFreq,1,1,1,1,0,5831,621,608,685,1484
BIOMD0000000094,mostFreq,1,1,1,0,0,5831,621,608,685,1484
BIOMD0000000094,mostFreq,1,1,0,1,1,6865,622,665,1313,2182
BIOMD0000000094,mostFreq,1,1,0,1,0,6865,622,665,1313,2182
BIOMD0000000094,mostFreq,1,1,0,0,0,6865,622,665,1313,2182
BIOMD0000000094,mostFreq,1,0,1,1,1,5831,621,608,685,1484
BIOMD0000000094,mostFreq,1,0,1,1,0,5831,621,608,685,1484
BIOMD0000000094,mostFreq,1,0,1,0,0,5831,621,608,685,1484
BIOMD0000000094,mostFreq,1,0,0,1,1,6865,622,665,1313,2182
BIOMD0000000094,mostFreq,1,0,0,1,0,6865,622,665,1313,2182
BIOMD0000000094,mostFreq,1,0,0,0,0,6865,622,665,1313,2182
BIOMD0000000094,mostFreq,0,0,1,1,1,28460,0,3123,5737,6600
BIOMD0000000094,mostFreq,0,0,1,1,0,28460,0,3123,5737,6600
BIOMD0000000094,mostFreq,0,0,1,0,0,28460,0,3123,5737,6600
BIOMD0000000094,mostFreq,0,0,0,1,1,34017,0,3155,8891,9910
BIOMD0000000094,mostFreq,0,0,0,1,0,34017,0,3155,8891,9910
BIOMD0000000094,mostFreq,0,0,0,0,0,34017,0,3155,8891,9910
BIOMD0000000094,weightedVars,1,1,1,1,1,3517,12,110,331,891
BIOMD0000000094,weightedVars,1,1,1,1,0,3517,12,110,331,891
BIOMD0000000094,weightedVars,1,1,1,0,0,3517,12,110,331,891
BIOMD0000000094,weightedVars,1,1,0,1,1,3255,21,111,277,793
BIOMD0000000094,weightedVars,1,1,0,1,0,3255,21,111,277,793
BIOMD0000000094,weightedVars,1,1,0,0,0,3255,21,111,277,793
BIOMD0000000094,weightedVars,1,0,1,1,1,3517,12,110,331,891
BIOMD0000000094,weightedVars,1,0,1,1,0,3517,12,110,331,891
BIOMD0000000094,weightedVars,1,0,1,0,0,3517,12,110,331,891
BIOMD0000000094,weightedVars,1,0,0,1,1,3255,21,111,277,793
BIOMD0000000094,weightedVars,1,0,0,1,0,3255,21,111,277,793
BIOMD0000000094,weightedVars,1,0,0,0,0,3255,21,111,277,793
BIOMD0000000094,weightedVars,0,0,1,1,1,2748,0,96,226,695
BIOMD0000000094,weightedVars,0,0,1,1,0,2748,0,96,226,695
BIOMD0000000094,weightedVars,0,0,1,0,0,2748,0,96,226,695
BIOMD0000000094,weightedVars,0,0,0,1,1,3386,0,134,327,854
BIOMD0000000094,weightedVars,0,0,0,1,0,3386,0,134,327,854
BIOMD0000000094,weightedVars,0,0,0,0,0,3386,0,134,327,854
BIOMD0000000106,mostFreq,1,1,1,1,1,63,6,0,0,15
BIOMD0000000106,mostFreq,1,1,1,1,0,63,6,0,0,15
BIOMD0000000106,mostFreq,1,1,1,0,0,63,6,0,0,15
BIOMD0000000106,mostFreq,1,1,0,1,1,74,8,0,0,17
BIOMD0000000106,mostFreq,1,1,0,1,0,74,8,0,0,17
BIOMD0000000106,mostFreq,1,1,0,0,0,74,8,0,0,17
BIOMD0000000106,mostFreq,1,0,1,1,1,63,6,0,0,15
BIOMD0000000106,mostFreq,1,0,1,1,0,63,6,0,0,15
BIOMD0000000106,mostFreq,1,0,1,0,0,63,6,0,0,15
BIOMD0000000106,mostFreq,1,0,0,1,1,74,8,0,0,17
BIOMD0000000106,mostFreq,1,0,0,1,0,74,8,0,0,17
BIOMD0000000106,mostFreq,1,0,0,0,0,74,8,0,0,17
BIOMD0000000106,mostFreq,0,0,1,1,1,99,0,0,0,27
BIOMD0000000106,mostFreq,0,0,1,1,0,99,0,0,0,27
BIOMD0000000106,mostFreq,0,0,1,0,0,99,0,0,0,27
BIOMD0000000106,mostFreq,0,0,0,1,1,234,0,0,0,63
BIOMD0000000106,mostFreq,0,0,0,1,0,234,0,0,0,63
BIOMD0000000106,mostFreq,0,0,0,0,0,234,0,0,0,63
BIOMD0000000106,weightedVars,1,1,1,1,1,93,2,3,7,46
BIOMD0000000106,weightedVars,1,1,1,1,0,93,2,3,7,46
BIOMD0000000106,weightedVars,1,1,1,0,0,93,2,3,7,46
BIOMD0000000106,weightedVars,1,1,0,1,1,84,0,4,10,39
BIOMD0000000106,weightedVars,1,1,0,1,0,84,0,4,10,39
BIOMD0000000106,weightedVars,1,1,0,0,0,84,0,4,10,39
BIOMD0000000106,weightedVars,1,0,1,1,1,93,2,3,7,46
BIOMD0000000106,weightedVars,1,0,1,1,0,93,2,3,7,46
BIOMD0000000106,weightedVars,1,0,1,0,0,93,2,3,7,46
BIOMD0000000106,weightedVars,1,0,0,1,1,84,0,4,10,39
BIOMD0000000106,weightedVars,1,0,0,1,0,84,0,4,10,39
BIOMD0000000106,weightedVars,1,0,0,0,0,84,0,4,10,39
BIOMD0000000106,weightedVars,0,0,1,1,1,99,0,5,10,48
BIOMD0000000106,weightedVars,0,0,1,1,0,99,0,5,10,48
BIOMD0000000106,weightedVars,0,0,1,0,0,99,0,5,10,48
BIOMD0000000106,weightedVars,0,0,0,1,1,84,0,4,10,39
BIOMD0000000106,weightedVars,0,0,0,1,0,84,0,4,10,39
BIOMD0000000106,weightedVars,0,0,0,0,0,84,0,4,10,39
BIOMD0000000107,mostFreq,1,1,1,1,1,51,5,0,0,16
BIOMD0000000107,mostFreq,1,1,1,1,0,51,5,0,0,16
BIOMD0000000107,mostFreq,1,1,1,0,0,51,5,0,0,16
BIOMD0000000107,mostFreq,1,1,0,1,1,70,6,0,0,23
BIOMD0000000107,mostFreq,1,1,0,1,0,70,6,0,0,23
BIOMD0000000107,mostFreq,1,1,0,0,0,70,6,0,0,23
BIOMD0000000107,mostFreq,1,0,1,1,1,51,5,0,0,16
BIOMD0000000107,mostFreq,1,0,1,1,0,51,5,0,0,16
BIOMD0000000107,mostFreq,1,0,1,0,0,51,5,0,0,16
BIOMD0000000107,mostFreq,1,0,0,1,1,70,6,0,0,23
BIOMD0000000107,mostFreq,1,0,0,1,0,70,6,0,0,23
BIOMD0000000107,mostFreq,1,0,0,0,0,70,6,0,0,23
BIOMD0000000107,mostFreq,0,0,1,1,1,76,0,0,0,26
BIOMD0000000107,mostFreq,0,0,1,1,0,76,0,0,0,26
BIOMD0000000107,mostFreq,0,0,1,0,0,76,0,0,0,26
BIOMD0000000107,mostFreq,0,0,0,1,1,159,0,0,0,49
BIOMD0000000107,mostFreq,0,0,0,1,0,159,0,0,0,49
BIOMD0000000107,mostFreq,0,0,0,0,0,159,0,0,0,49
BIOMD0000000107,weightedVars,1,1,1,1,1,37,0,0,0,16
BIOMD0000000107,weightedVars,1,1,1,1,0,37,0,0,0,16
BIOMD0000000107,weightedVars,1,1,1,0,0,37,0,0,0,16
BIOMD0000000107,weightedVars,1,1,0,1,1,77,0,0,0,39
BIOMD0000000107,weightedVars,1,1,0,1,0,77,0,0,0,39
BIOMD0000000107,weightedVars,1,1,0,0,0,77,0,0,0,39
BIOMD0000000107,weightedVars,1,0,1,1,1,37,0,0,0,16
BIOMD0000000107,weightedVars,1,0,1,1,0,37,0,0,0,16
BIOMD0000000107,weightedVars,1,0,1,0,0,37,0,0,0,16
BIOMD0000000107,weightedVars,1,0,0,1,1,77,0,0,0,39
BIOMD0000000107,weightedVars,1,0,0,1,0,77,0,0,0,39
BIOMD0000000107,weightedVars,1,0,0,0,0,77,0,0,0,39
BIOMD0000000107,weightedVars,0,0,1,1,1,37,0,0,0,16
BIOMD0000000107,weightedVars,0,0,1,1,0,37,0,0,0,16
BIOMD0000000107,weightedVars,0,0,1,0,0,37,0,0,0,16
BIOMD0000000107,weightedVars,0,0,0,1,1,77,0,0,0,39
BIOMD0000000107,weightedVars,0,0,0,1,0,77,0,0,0,39
BIOMD0000000107,weightedVars,0,0,0,0,0,77,0,0,0,39
BIOMD0000000108,mostFreq,1,1,1,1,1,292,28,8,24,169
BIOMD0000000108,mostFreq,1,1,1,1,0,292,28,8,24,169
BIOMD0000000108,mostFreq,1,1,1,0,0,292,28,8,24,169
BIOMD0000000108,mostFreq,1,1,0,1,1,565,31,27,98,273
BIOMD0000000108,mostFreq,1,1,0,1,0,565,31,27,98,273
BIOMD0000000108,mostFreq,1,1,0,0,0,565,31,27,98,273
BIOMD0000000108,mostFreq,1,0,1,1,1,292,28,8,24,169
BIOMD0000000108,mostFreq,1,0,1,1,0,292,28,8,24,169
BIOMD0000000108,mostFreq,1,0,1,0,0,292,28,8,24,169
BIOMD0000000108,mostFreq,1,0,0,1,1,565,31,27,98,273
BIOMD0000000108,mostFreq,1,0,0,1,0,565,31,27,98,273
BIOMD0000000108,mostFreq,1,0,0,0,0,565,31,27,98,273
BIOMD0000000108,mostFreq,0,0,1,1,1,1372,0,116,362,509
BIOMD0000000108,mostFreq,0,0,1,1,0,1372,0,116,362,509
BIOMD0000000108,mostFreq,0,0,1,0,0,1372,0,116,362,509
BIOMD0000000108,mostFreq,0,0,0,1,1,3092,0,247,1060,1235
BIOMD0000000108,mostFreq,0,0,0,1,0,3092,0,247,1060,1235
BIOMD0000000108,mostFreq,0,0,0,0,0,3092,0,247,1060,1235
BIOMD0000000108,weightedVars,1,1,1,1,1,769,3,44,134,321
BIOMD0000000108,weightedVars,1,1,1,1,0,769,3,44,134,321
BIOMD0000000108,weightedVars,1,1,1,0,0,769,3,44,134,321
BIOMD0000000108,weightedVars,1,1,0,1,1,848,3,51,158,321
BIOMD0000000108,weightedVars,1,1,0,1,0,848,3,51,158,321
BIOMD0000000108,weightedVars,1,1,0,0,0,848,3,51,158,321
BIOMD0000000108,weightedVars,1,0,1,1,1,769,3,44,134,321
BIOMD0000000108,weightedVars,1,0,1,1,0,769,3,44,134,321
BIOMD0000000108,weightedVars,1,0,1,0,0,769,3,44,134,321
BIOMD0000000108,weightedVars,1,0,0,1,1,848,3,51,158,321
BIOMD0000000108,weightedVars,1,0,0,1,0,848,3,51,158,321
BIOMD0000000108,weightedVars,1,0,0,0,0,848,3,51,158,321
BIOMD0000000108,weightedVars,0,0,1,1,1,755,0,43,127,317
BIOMD0000000108,weightedVars,0,0,1,1,0,755,0,43,127,317
BIOMD0000000108,weightedVars,0,0,1,0,0,755,0,43,127,317
BIOMD0000000108,weightedVars,0,0,0,1,1,1003,0,68,223,387
BIOMD0000000108,weightedVars,0,0,0,1,0,1003,0,68,223,387
BIOMD0000000108,weightedVars,0,0,0,0,0,1003,0,68,223,387
BIOMD0000000110,mostFreq,1,1,1,1,1,453,33,3,7,79
BIOMD0000000110,mostFreq,1,1,1,1,0,453,33,3,7,79
BIOMD0000000110,mostFreq,1,1,1,0,0,453,33,3,7,79
BIOMD0000000110,mostFreq,1,1,0,1,1,505,35,1,1,82
BIOMD0000000110,mostFreq,1,1,0,1,0,505,35,1,1,82
BIOMD0000000110,mostFreq,1,1,0,0,0,505,35,1,1,82
BIOMD0000000110,mostFreq,1,0,1,1,1,453,33,3,7,79
BIOMD0000000110,mostFreq,1,0,1,1,0,453,33,3,7,79
BIOMD0000000110,mostFreq,1,0,1,0,0,453,33,3,7,79
BIOMD0000000110,mostFreq,1,0,0,1,1,505,35,1,1,82
BIOMD0000000110,mostFreq,1,0,0,1,0,505,35,1,1,82
BIOMD0000000110,mostFreq,1,0,0,0,0,505,35,1,1,82
BIOMD0000000110,mostFreq,0,0,1,1,1,1011,0,21,49,199
BIOMD0000000110,mostFreq,0,0,1,1,0,1011,0,21,49,199
BIOMD0000000110,mostFreq,0,0,1,0,0,1011,0,21,49,199
BIOMD0000000110,mostFreq,0,0,0,1,1,1299,0,25,25,284
BIOMD0000000110,mostFreq,0,0,0,1,0,1299,0,25,25,284
BIOMD0000000110,mostFreq,0,0,0,0,0,1299,0,25,25,284
BIOMD0000000110,weightedVars,1,1,1,1,1,324,1,6,9,123
BIOMD0000000110,weightedVars,1,1,1,1,0,324,1,6,9,123
BIOMD0000000110,weightedVars,1,1,1,0,0,324,1,6,9,123
BIOMD0000000110,weightedVars,1,1,0,1,1,319,0,1,2,100
BIOMD0000000110,weightedVars,1,1,0,1,0,319,0,1,2,100
BIOMD0000000110,weightedVars,1,1,0,0,0,319,0,1,2,100
BIOMD0000000110,weightedVars,1,0,1,1,1,324,1,6,9,123
BIOMD0000000110,weightedVars,1,0,1,1,0,324,1,6,9,123
BIOMD0000000110,weightedVars,1,0,1,0,0,324,1,6,9,123
BIOMD0000000110,weightedVars,1,0,0,1,1,319,0,1,2,100
BIOMD0000000110,weightedVars,1,0,0,1,0,319,0,1,2,100
BIOMD0000000110,weightedVars,1,0,0,0,0,319,0,1,2,100
BIOMD0000000110,weightedVars,0,0,1,1,1,356,0,5,10,128
BIOMD0000000110,weightedVars,0,0,1,1,0,356,0,5,10,128
BIOMD0000000110,weightedVars,0,0,1,0,0,356,0,5,10,128
BIOMD0000000110,weightedVars,0,0,0,1,1,319,0,1,2,100
BIOMD0000000110,weightedVars,0,0,0,1,0,319,0,1,2,100
BIOMD0000000110,weightedVars,0,0,0,0,0,319,0,1,2,100
BIOMD0000000162,mostFreq,1,1,1,1,1,79013,650,0,0,2584
BIOMD0000000162,mostFreq,1,1,1,1,0,79013,650,0,0,2584
BIOMD0000000162,mostFreq,1,1,1,0,0,79013,650,0,0,2584
BIOMD0000000162,mostFreq,1,1,0,1,1,79040,650,0,0,2611
BIOMD0000000162,mostFreq,1,1,0,1,0,79040,650,0,0,2611
BIOMD0000000162,mostFreq,1,1,0,0,0,79040,650,0,0,2611
BIOMD0000000162,mostFreq,1,0,1,1,1,79013,650,0,0,2584
BIOMD0000000162,mostFreq,1,0,1,1,0,79013,650,0,0,2584
BIOMD0000000162,mostFreq,1,0,1,0,0,79013,650,0,0,2584
BIOMD0000000162,mostFreq,1,0,0,1,1,79040,650,0,0,2611
BIOMD0000000162,mostFreq,1,0,0,1,0,79040,650,0,0,2611
